,oid,meanra,meandec,firstmjd,ndet,probability,class_name,classifier_name,drb,fid,mjd,magpsf,sigmapsf,has_stamp,sgscore1,distpsnr1,event_id,oid_y,ecl_lat,gal_lat,gal_A_g,stellar,agn,z,agnsep,mjd_obs
24,ZTF23aampixy,9.113712865247775,41.94755892954978,60942.36259259982,16,0.7129295,SN,stamp_classifier,1.0,2,61024.159270800184,20.407923,0.18736674,True,0.0,0.30303094,S250911ac,0,34.501660254805955,-20.837476492539466,0.22670430068546474,False,LAMOSTJ003627.31+415651.4,0.279,5.476619057760117e-05,60929.32406565302
25,ZTF19adcegjd,152.47763445015448,48.25393905,61011.4467823999,2,0.57177,AGN,stamp_classifier,0.99999636,2,61020.50831020018,20.251982,0.18424219,True,0.233664,0.3738433,S250908y,0,34.20457852243271,52.33583126300498,0.028924066676816417,False,SDSS J100954.65+481514.6,0.179,0.00012110091288127422,60926.607279562006
26,ZTF19adfnazw,159.5583571447295,34.829071970645536,61029.42799769994,13,0.71361434,AGN,stamp_classifier,0.9986042,2,61029.42799769994,20.382511,0.17977852,True,0.41219,0.30725718,S250908y,1,24.20256134554004,60.57757756672185,0.07995972165765333,False,SDSS J103814.01+344944.8,0.26,4.943593944838995e-05,60926.607279562006
27,ZTF19adguwvt,168.15430775803227,41.95611354382565,61037.4109259001,7,0.65305203,SN,stamp_classifier,0.9999961,1,61059.40818289993,19.950693,0.16454566,True,0.0642083,0.29300952,S250908y,2,33.55038374909657,64.97463224716212,0.06813950423091668,False,SDSS J111236.99+415722.0,0.119,8.89149626771188e-05,60926.607279562006
28,ZTF20acqifbn,153.11206434008423,26.22425526,60948.51887729997,5,0.68562263,AGN,stamp_classifier,0.9997173,2,60951.52103010006,19.541004,0.16587748,True,0.276399,0.7300299,S250908y,3,14.125394664739469,54.62157265035696,0.10142334622799486,False,SDSS J101226.85+261327.2,0.378,0.00014088264102210987,60926.607279562006
29,ZTF20acukttp,153.942054168716,34.92504630531072,60975.467800899874,18,0.7116558,AGN,stamp_classifier,0.99999726,1,61004.469976900145,20.607903,0.2125969,True,0.141089,0.39242333,S250908y,4,22.45740659354016,55.975609874296666,0.03637506277370874,False,SDSS J101546.10+345530.0,0.264,5.3213360576711495e-05,60926.607279562006
30,ZTF22acazuqs,151.79782699990687,58.28736904999999,61056.39473380009,2,0.6467418,AGN,stamp_classifier,0.99999726,1,61056.39473380009,20.415272,0.21641867,True,0.00583333,0.18734726,S250908y,5,42.975262523762716,47.78671844225994,0.02773492825678846,False,SDSS J100711.44+581714.3,0.202,9.124068512263003e-05,60926.607279562006
31,ZTF23aaffvmx,151.1628367666267,23.125861750000002,60948.51841440005,6,0.6206751,AGN,stamp_classifier,0.9979849,2,60952.52484950004,19.603943,0.1918256,True,0.01,0.28341752,S250908y,6,10.597197207519189,52.20639004270866,0.12047225682475962,False,SDSS J100439.06+230733.0,0.17,5.6934511403255315e-05,60926.607279562006
32,ZTF23abnoigw,166.18321257992503,51.66032747999999,61021.404675900005,5,0.5365805,SN,stamp_classifier,0.9999862,1,61028.531354200095,20.243313,0.15862717,True,0.395122,0.11090336,S250908y,7,41.35297473565411,58.316696710077906,0.04204896821976428,False,SDSS J110443.96+513936.9,0.14,8.508750633947971e-05,60926.607279562006
33,ZTF24aafmqtd,146.0461414821335,48.33080972690635,61022.46734949993,3,0.52785957,AGN,stamp_classifier,0.99996424,1,61029.48499999987,20.312862,0.1810532,True,0.123595,0.2495619,S250908y,8,32.523889571681565,48.20696315906932,0.060852056315655594,False,SDSS J094411.01+481950.8,0.214,0.00011557570845407148,60926.607279562006
34,ZTF25aaolauj,159.6875284153923,34.0171482076923,60964.46853009984,13,0.5450638,AGN,stamp_classifier,0.9999969,1,61026.44412040012,19.217068,0.18947357,True,0.168976,0.36312586,S250908y,9,23.50462814627818,60.757717776308745,0.06104051693348758,False,SDSS J103845.02+340102.0,0.118,7.997555654102135e-05,60926.607279562006
35,ZTF25aawipmq,154.08251195019383,27.999521899999998,60951.52499999991,4,0.7347776,AGN,stamp_classifier,0.99996555,2,60952.525312500075,19.783274,0.19629596,True,0.811625,1.1312083,S250908y,10,16.094112617100812,55.759437245124296,0.1167620608169116,False,SDSS J101619.76+275957.8,0.432,0.00018294088905040286,60926.607279562006
36,ZTF25abupkrt,110.23171298569238,39.47909969974806,60948.44333329983,4,0.6309977,AGN,stamp_classifier,0.99757725,2,61024.39175930014,20.48694,0.20365746,True,0.188143,0.22769168,S250908y,11,17.172420271184,22.21344783983786,0.27386750535388343,False,SDSS J072055.60+392844.6,0.431,1.2763030021088039e-05,60926.607279562006
37,ZTF25abxkaam,151.98519719883458,49.30259198758179,60952.50847220002,41,0.69937664,AGN,stamp_classifier,0.9999013,2,60990.54511569999,19.613068,0.1904968,True,0.389399,0.3584156,S250908y,12,35.01373605302893,51.67675093128957,0.031069830980848562,False,PGC 2339113,0.15,7.132925581567234e-05,60926.607279562006
38,ZTF25acinjum,117.42458541649184,35.877476686805714,61026.45755789988,5,0.6032953,SN,stamp_classifier,0.99999666,1,61026.45755789988,20.1832,0.1754531,True,0.00416667,0.09603929,S250908y,13,14.572676113304,26.652706218532142,0.1782958772178964,False,SDSS J074941.89+355238.9,0.134,2.2208855638574832e-05,60926.607279562006
39,ZTF26aabxsbt,151.79320043994127,50.399337100000004,61058.3820369998,5,0.6344002,SN,stamp_classifier,0.99842924,1,61058.3820369998,19.956427,0.17638138,True,0.0335,1.3095908,S250908y,14,35.95011094225847,51.174580546275315,0.03870409804659562,False,SDSS J100710.44+502356.4,0.133,0.0003696054739472259,60926.607279562006
